motion_id	file	source_pack	category	train_enabled	view_enabled
RL_Avatar_Atk_4xCombo02_Motion	data/motions/reallusion/RL_Avatar_Atk_4xCombo02_Motion.pkl	sword_shield_stunts	combo	true	true
RL_Avatar_Atk_4xCombo03_Motion	data/motions/reallusion/RL_Avatar_Atk_4xCombo03_Motion.pkl	sword_shield_stunts	combo	true	true
RL_Avatar_Atk_SlashDown_Motion	data/motions/reallusion/RL_Avatar_Atk_SlashDown_Motion.pkl	sword_shield_moves	slash	true	true
RL_Avatar_Atk_SlashLeft_Motion	data/motions/reallusion/RL_Avatar_Atk_SlashLeft_Motion.pkl	sword_shield_moves	slash	true	true
RL_Avatar_Atk_SlashRight_Motion	data/motions/reallusion/RL_Avatar_Atk_SlashRight_Motion.pkl	sword_shield_moves	slash	true	true
RL_Avatar_Atk_SlashUp_Motion	data/motions/reallusion/RL_Avatar_Atk_SlashUp_Motion.pkl	sword_shield_moves	slash	true	true
RL_Avatar_Atk_Spin_Motion	data/motions/reallusion/RL_Avatar_Atk_Spin_Motion.pkl	sword_shield_moves	slash	true	true
RL_Avatar_Atk_Stab_Motion	data/motions/reallusion/RL_Avatar_Atk_Stab_Motion.pkl	sword_shield_moves	stab	true	true
RL_Avatar_Counter_Atk01_Motion	data/motions/reallusion/RL_Avatar_Counter_Atk01_Motion.pkl	sword_shield_stunts	counter	true	true
RL_Avatar_Counter_Atk02_Motion	data/motions/reallusion/RL_Avatar_Counter_Atk02_Motion.pkl	sword_shield_stunts	counter	true	true
RL_Avatar_Counter_Atk03_Motion	data/motions/reallusion/RL_Avatar_Counter_Atk03_Motion.pkl	sword_shield_stunts	counter	true	true
RL_Avatar_Counter_Atk04_Motion	data/motions/reallusion/RL_Avatar_Counter_Atk04_Motion.pkl	sword_shield_stunts	counter	true	true
RL_Avatar_Kill_2xCombo01_Motion	data/motions/reallusion/RL_Avatar_Kill_2xCombo01_Motion.pkl	sword_shield_stunts	kill	true	true
RL_Avatar_Kill_2xCombo02_Motion	data/motions/reallusion/RL_Avatar_Kill_2xCombo02_Motion.pkl	sword_shield_stunts	kill	true	true
RL_Avatar_Kill_3xCombo01_Motion	data/motions/reallusion/RL_Avatar_Kill_3xCombo01_Motion.pkl	sword_shield_stunts	kill	true	true
RL_Avatar_Kill_3xCombo02_Motion	data/motions/reallusion/RL_Avatar_Kill_3xCombo02_Motion.pkl	sword_shield_stunts	kill	true	true
RL_Avatar_Kill_4xCombo01_Motion	data/motions/reallusion/RL_Avatar_Kill_4xCombo01_Motion.pkl	sword_shield_stunts	kill	true	true
RL_Avatar_Atk_Jump_Motion	data/motions/reallusion/RL_Avatar_Atk_Jump_Motion.pkl	sword_shield_stunts	special_attack	true	true
RL_Avatar_Atk_Kick_Motion	data/motions/reallusion/RL_Avatar_Atk_Kick_Motion.pkl	sword_shield_stunts	special_attack	true	true
RL_Avatar_Atk_ShieldCharge_Motion	data/motions/reallusion/RL_Avatar_Atk_ShieldCharge_Motion.pkl	sword_shield_stunts	special_attack	true	true
RL_Avatar_Atk_ShieldSwipe01_Motion	data/motions/reallusion/RL_Avatar_Atk_ShieldSwipe01_Motion.pkl	sword_shield_stunts	special_attack	true	true
RL_Avatar_Atk_ShieldSwipe02_Motion	data/motions/reallusion/RL_Avatar_Atk_ShieldSwipe02_Motion.pkl	sword_shield_stunts	special_attack	true	true
RL_Avatar_Counter_Atk05_Motion	data/motions/reallusion/RL_Avatar_Counter_Atk05_Motion.pkl	sword_shield_stunts	counter	true	true
RL_Avatar_Standoff_Feint_Motion	data/motions/reallusion/RL_Avatar_Standoff_Feint_Motion.pkl	sword_shield_stunts	special_attack	true	true
RL_Avatar_Dodge_Backward_Motion	data/motions/reallusion/RL_Avatar_Dodge_Backward_Motion.pkl	sword_shield_stunts	dodge	true	true
RL_Avatar_RunBackward_Motion	data/motions/reallusion/RL_Avatar_RunBackward_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_WalkBackward01_Motion	data/motions/reallusion/RL_Avatar_WalkBackward01_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_WalkBackward02_Motion	data/motions/reallusion/RL_Avatar_WalkBackward02_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_Dodgle_Left_Motion	data/motions/reallusion/RL_Avatar_Dodgle_Left_Motion.pkl	sword_shield_stunts	dodge	true	true
RL_Avatar_RunLeft_Motion	data/motions/reallusion/RL_Avatar_RunLeft_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_WalkLeft01_Motion	data/motions/reallusion/RL_Avatar_WalkLeft01_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_WalkLeft02_Motion	data/motions/reallusion/RL_Avatar_WalkLeft02_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_Dodgle_Right_Motion	data/motions/reallusion/RL_Avatar_Dodgle_Right_Motion.pkl	sword_shield_stunts	dodge	true	true
RL_Avatar_RunRight_Motion	data/motions/reallusion/RL_Avatar_RunRight_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_WalkRight01_Motion	data/motions/reallusion/RL_Avatar_WalkRight01_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_WalkRight02_Motion	data/motions/reallusion/RL_Avatar_WalkRight02_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_RunForward_Motion	data/motions/reallusion/RL_Avatar_RunForward_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_WalkForward01_Motion	data/motions/reallusion/RL_Avatar_WalkForward01_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_WalkForward02_Motion	data/motions/reallusion/RL_Avatar_WalkForward02_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_Standoff_Circle_Motion	data/motions/reallusion/RL_Avatar_Standoff_Circle_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_TurnLeft90_Motion	data/motions/reallusion/RL_Avatar_TurnLeft90_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_TurnLeft180_Motion	data/motions/reallusion/RL_Avatar_TurnLeft180_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_TurnRight90_Motion	data/motions/reallusion/RL_Avatar_TurnRight90_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_TurnRight180_Motion	data/motions/reallusion/RL_Avatar_TurnRight180_Motion.pkl	sword_shield_moves	locomotion	true	true
RL_Avatar_Idle_Alert(0)_Motion	data/motions/reallusion/RL_Avatar_Idle_Alert(0)_Motion.pkl	sword_shield_moves	idle	true	true
RL_Avatar_Idle_Alert_Motion	data/motions/reallusion/RL_Avatar_Idle_Alert_Motion.pkl	sword_shield_moves	idle	true	true
RL_Avatar_Idle_Battle(0)_Motion	data/motions/reallusion/RL_Avatar_Idle_Battle(0)_Motion.pkl	sword_shield_moves	idle	true	true
RL_Avatar_Idle_Battle_Motion	data/motions/reallusion/RL_Avatar_Idle_Battle_Motion.pkl	sword_shield_moves	idle	true	true
RL_Avatar_Idle_Ready(0)_Motion	data/motions/reallusion/RL_Avatar_Idle_Ready(0)_Motion.pkl	sword_shield_moves	idle	true	true
RL_Avatar_Idle_Ready_Motion	data/motions/reallusion/RL_Avatar_Idle_Ready_Motion.pkl	sword_shield_moves	idle	true	true
RL_Avatar_Standoff_Swing_Motion	data/motions/reallusion/RL_Avatar_Standoff_Swing_Motion.pkl	sword_shield_moves	idle	true	true
RL_Avatar_Taunt_PoundChest_Motion	data/motions/reallusion/RL_Avatar_Taunt_PoundChest_Motion.pkl	sword_shield_moves	taunt	true	true
RL_Avatar_Taunt_Roar_Motion	data/motions/reallusion/RL_Avatar_Taunt_Roar_Motion.pkl	sword_shield_moves	taunt	true	true
RL_Avatar_Taunt_ShieldKnock_Motion	data/motions/reallusion/RL_Avatar_Taunt_ShieldKnock_Motion.pkl	sword_shield_moves	taunt	true	true
RL_Avatar_Shield_BlockBackward_Motion	data/motions/reallusion/RL_Avatar_Shield_BlockBackward_Motion.pkl	sword_shield_moves	block	true	true
RL_Avatar_Shield_BlockCrouch_Motion	data/motions/reallusion/RL_Avatar_Shield_BlockCrouch_Motion.pkl	sword_shield_moves	block	true	true
RL_Avatar_Shield_BlockDown_Motion	data/motions/reallusion/RL_Avatar_Shield_BlockDown_Motion.pkl	sword_shield_moves	block	true	true
RL_Avatar_Shield_BlockLeft_Motion	data/motions/reallusion/RL_Avatar_Shield_BlockLeft_Motion.pkl	sword_shield_moves	block	true	true
RL_Avatar_Shield_BlockRight_Motion	data/motions/reallusion/RL_Avatar_Shield_BlockRight_Motion.pkl	sword_shield_moves	block	true	true
RL_Avatar_Shield_BlockUp_Motion	data/motions/reallusion/RL_Avatar_Shield_BlockUp_Motion.pkl	sword_shield_moves	block	true	true
RL_Avatar_Sword_ParryBackward01_Motion	data/motions/reallusion/RL_Avatar_Sword_ParryBackward01_Motion.pkl	sword_shield_moves	parry	true	true
RL_Avatar_Sword_ParryBackward02_Motion	data/motions/reallusion/RL_Avatar_Sword_ParryBackward02_Motion.pkl	sword_shield_moves	parry	true	true
RL_Avatar_Sword_ParryBackward03_Motion	data/motions/reallusion/RL_Avatar_Sword_ParryBackward03_Motion.pkl	sword_shield_moves	parry	true	true
RL_Avatar_Sword_ParryBackward04_Motion	data/motions/reallusion/RL_Avatar_Sword_ParryBackward04_Motion.pkl	sword_shield_moves	parry	true	true
RL_Avatar_Sword_ParryCrouch_Motion	data/motions/reallusion/RL_Avatar_Sword_ParryCrouch_Motion.pkl	sword_shield_moves	parry	true	true
RL_Avatar_Sword_ParryDown_Motion	data/motions/reallusion/RL_Avatar_Sword_ParryDown_Motion.pkl	sword_shield_moves	parry	true	true
RL_Avatar_Sword_ParryLeft_Motion	data/motions/reallusion/RL_Avatar_Sword_ParryLeft_Motion.pkl	sword_shield_moves	parry	true	true
RL_Avatar_Sword_ParryRight_Motion	data/motions/reallusion/RL_Avatar_Sword_ParryRight_Motion.pkl	sword_shield_moves	parry	true	true
RL_Avatar_Sword_ParryUp_Motion	data/motions/reallusion/RL_Avatar_Sword_ParryUp_Motion.pkl	sword_shield_moves	parry	true	true
RL_Avatar_Fall_Backward_Motion	data/motions/reallusion/RL_Avatar_Fall_Backward_Motion.pkl	sword_shield_stunts	fall	false	true
RL_Avatar_Fall_Left_Motion	data/motions/reallusion/RL_Avatar_Fall_Left_Motion.pkl	sword_shield_stunts	fall	false	true
RL_Avatar_Fall_Right_Motion	data/motions/reallusion/RL_Avatar_Fall_Right_Motion.pkl	sword_shield_stunts	fall	false	true
RL_Avatar_Fall_SpinLeft_Motion	data/motions/reallusion/RL_Avatar_Fall_SpinLeft_Motion.pkl	sword_shield_stunts	fall	false	true
RL_Avatar_Fall_SpinRight_Motion	data/motions/reallusion/RL_Avatar_Fall_SpinRight_Motion.pkl	sword_shield_stunts	fall	false	true
